"code","label","subcategory","feedback","criticality","organization","question","row_index"
"cc","Care received","Care received","""Join me on the set of Mr Sillyberk's new blockbuster mover - Sure Start, Stay and play you wonderful one's."" ""First of all Mr Sillyberk, a big thank you for this interview. Could you tell us more about your movie?""  
""Sure;""  
The movie opens with a panoramic shot of an ancient castle, surrounded by a moat in which a friendly crocodile resides. Shortly, an army of little princes and princesses arrive - walls being to tumble and then are rebuilt. ""Help"", ""help"" cries a small plastic figure of a girl, ""I’m trapped on top of the parapet wall and I need a fire engine to rescue me"". ""I am on my way sweetheart"" cries a trainee fireman - ladders extended, the terrified figure is rescued!!""  
Elsewhere........ In the kitchen, meals are prepared by enthusiastic chefs. Dough, carefully rolled out flat, cut and shaped. Pasta tubes weighed and spooned on to plates. Microwave doors open...'ping' - ""it’s ready"". The tension is beginning to build. Anxious little faces stare at the dinners. Will it be properly cooked? Did it spend too much time in the microwave? Will it be al dente? ""Perfecto"", - signs of relief from the chefs. You are awarded the Micheline Star!! Meanwhile...on a rough sea of red water, a small flotilla of boats battle through the torrents of red water. Sharks lurk menacingly below the waves, ready to grab a meal of an overboard sailor - ""grab a meal?"" ""No! No! We just want to play hide and seek"", a bemused shark shouts.  
The film then takes us to the artistic quarter. ""No darling, that’s too much glue, and you don’t need to overdo the glitter!!"" ""Breathe deeply mother, I know what I am doing. I am in the moment - you can never, and I mean never, have too much glitter. Keep the faith, after all, my creations hang on every fridge of every relative I have. No Grandad and Grandma wouldn’t display them if they had too much glitter would they?"" The Pace of the film now really begins to pick up. Beep Beep, watch out - coming through - trikes, tractors and turbo charged cars transverse in every direction. Covered dollies in pushchairs brave the traffic. ""I can do it"" - ""I don’t need your hand"". Wobbly legs cross the stepping stones, up the green steps, then over the orange bridge - a quick rendition of 'I’m the king of the castle' once on top, followed by the treacherous descent of the slippery slope and onto the final jump! Hold tight, see saw Marjory daws. A goal!!! Put the ball through the net. Yeah- hands clap together, faces smile and laughter begins to fill the air.  
""Now Mr Sillyberk, who have you cast in this action, adventure, romcom, thriller, musical film?"" ""Well, my production team constructs and then lays out the set - a set which changes on a daily basis. The magic can only start when the local children arrive - they engage their imagination and new scenes begin to develop for the chaos, I just observe and note it"".  
""So, tell me about the production team?"" ""The first thing to say is that they are all professional and passionate about their work. It would be impossible to maintain the high standards they so consistently achieve. This is not merely a job and I am not sure they realise this. This room is always immaculately prepared and obviously well thought out. Testament to this is the state of the room at near ""Stop what you are doing and show me your hands - it’s time to tidy up"". Demolished beyond recognition would be a fair description. I feel more proof if needed, that the children have had a good time for have been actively engaged with all areas of the room and outside.  
And so to the members of the team:  
Tracey: Impressive, efficient, warm and welcoming – the first to inquire about my grandson in a morning. He’s at ease with her and trusts her – often engaging in conversation – a greater recommendation I could not imagine! A big thank you to the interview team who appointed her. Karen: Ticks all the boxes. I absolutely love to see the interaction between C and Karen. Always asks at the end of each session if anyone has any requests for play at next session, and, most importantly delivers! Good at the visual side of singing, great use of props to embellish the song, and not afraid to take advice from a 3 year old! – Zoom not Whoosh!  
Becky: If C had a favourite and must emphasise ‘if’ – it would be Becky. C will always ask before we set off “will Becky be there?” Now I must admit, this may be out of fear, but if how they interact, once they meet, I know you can dismiss the ‘fear’. Not afraid to correct the children, even when the children’s own carer fails to do so. Listens to and never over-talks the children. But Becky, bright pink Doc Martins – really?!?!?!  
Kieren: Her greatest skill is the ability to talk to children on their own level – not as easy as you may think. Away for a while with a poorly arm. However, I guess the lure of the children drew her back – probably too early. Now that’s dedication for you. Hope your arm is better, after all – those snacks aren’t going to prepare themselves!  
Paula: Along with Tracy, never fails to ask after C’s morning – “How many tractors, buses and fire engines have you seen today?” A genuine question that is important to him. C is keen to share this information, often adding what colour and whether they were single or double decker.  
Some of your critics have said, and I quote ‘This is just another remake of Kindergarten Cop’. Not at all. Unlike Kindergarten Cop, this film is about the children and the adults play a secondary role. However, where it does mimic Kindergarten Cop is that it does have a beginning, middle and an end. Always full of drama, comedy, thrills and sometimes romance, but most importantly, finishes on a happy ending. Food and drink!  
I once read that even the smallest person can make a big difference, to all these individual, adorable and talented little people, I thank you from the bottom of my heart. You have collectively made a big difference to me, and in a positive way. Now I will be the first to admit C and I suspect all of his playmates, are no way little angels all of the time, but isn’t this what growing up is all about? Testing boundaries? Pushing limits? We need the naughty to make the good memorable. It’s down to us, as adults to guide and steer our little ones in a direction that is acceptable to society and society will fall if we neglect to put the effort into showing our little ones good examples. Enough of this serious stuff.  
C (and is grandad) began this incredible journey of enlightenment almost two years ago. The only baby in a room full of toddlers. The interaction between children and children, and children and adults was a joy for me to observe. For the first time I was able to watch this without the pressures of being a young father and husband – what have I been missing?  
Back to the interview….”now I understand the film finishes on a musical note?”  
“Yes, quite true”. “The big sing song as I like to call it, songs from our childhood – a symphony of sound, marching, clapping and arms aloft. What a good way to shake our sillies out after an action packed day”.  
“And finally Mr Sillyberk, I understand the catering is legendary?” “Yes, the best kept secret on the set. A chance to bring the excitement levels down, to share a snack, experience new foods they may not have tried, before getting in to their stretched limo pushchairs and onto a new experience.  
So, a big, big thank you to all the cast members of SureStart, some at the coal face, others working behind the scenes. And on behalf of my wonderful grandson C, thank you for all the stickers, thank you for all the snacks but most of all, thank you for all the fun!  
","2","Care Opinion","Care Opinion - Q1",15
"cs","Care received","Advice and support","The advice I received was exactly what I needed, in fact more than I even expected as the info about over the counter medicines I could take and how to take and combine them safely, enabled me to know how I could manage for now until I was able to attend the dental appointment in one months time. &nbsp; My query about attending NHS Walk-in-Centres anywhere in the UK if required was also answered to my satisfaction. &nbsp; I was offered an appointment next day, very helpful info given about that. &nbsp; All this info given to me quickly in a non patronising manner. &nbsp; With the help of the info I was able to make the choice of not to take up an appointment tommorow.","3","Care Opinion","Care Opinion - Q1",16
"cc","Care received","Care received","Excellent and great service from all the moment I walked in. Completely feel much better and given lots of advice in next steps following my treatment.  
Much appreciated","2","Care Opinion","Care Opinion - Q1",17
"dp","Dignity","Involvement: Of Service Users/Patients","I have been involved in the new care plans. I think they will involve me and I will ask my named nurse in my CPA so that I can go through them and correct what is wrong.  
I feel very much cared for by my nursing team. They listen to me when I'm distressed. They laugh with me when I'm happy and join me in activities and groups.  
I would like to see more staff as we are short-staffed at the moment. This affects staff and patients and staff feel that they can't do their job properly because there are not enough of them around.  
I really enjoy my activity groups. When there are enough staff they take us biking, walking around the compound and DRC. I would like to see some ward pets like guinea pigs and more staff as well.  
I couldn't go to the 10th year celebration but I was brought cake, fruit, sandwiches and pop.","1","Care Opinion","Care Opinion - Q1",18
"ss","Staff","Staff: General","Sarah D( Staff ) has helped me loads since coming onto Brecon she is a gem. John S is ok as well.  All the way round, the directors ,staff are short on the shop floor. Some patients at Rampton are not getting the rehabilitation therapy activities and we are bored and getting low stim and people are getting into trouble. People are relapsing and going on the intensive care ward. To reply back I have put my issues across to other internal affairs to my MP for Bernskey Central and also to the Minister Obusman.","-2","Care Opinion","Care Opinion - Q1",19
"ss","Staff","Staff: General","My mum was admitted to Lings Bar Hospital after a fall at home and A&E treatment at QMC which showed a fracture of the humerus.
While there she was very grateful for the care and kindness of the nursing staff on Forest Ward who took her to the chapel on Sundays and provided all she needed while recuperating over a period of two weeks.
The food was quite sufficient for her needs and delicious, especially the deserts.
She was moved on from here to a Short Stay Reablement Unit at The Grand Care Centre in West Bridgford where I hope she will continue her recovery.","3","Care Opinion","Care Opinion - Q1",20
"cl","Care received","Made A Difference To My Life","I am a postgraduate of the Nottingham Recovery College in Duncan Macmillan House, Nottingham. I am a recovering drug, solvent and alcohol user with mental health issues, at this time I am stable and sober and clean of drugs.  
I did initially go to the Nottingham Recovery College for 6 weeks in approximately 2012 , but left. I think it wasn't my time then. I went back to my old back habits of isolating myself and not talking to people in the community, also seeking comfort in junk food and tobacco. My weight shot up to 18st 1 pound. I used a walking stick and could hardly bend down to tie my shoe laces. Sinking into a deeper hole of depression than I had ever been in before.  
I decided to start again as a student at the Nottingham Recovery College on the first day of the educational year of 2015-2016. I attended all of the subjects I chose in the 3 terms of my academic year - graduating in July 2016. After this, I went on to Summer School also held at the Nottingham Recovery College. I took a great course called ""Spirituality In Recovery - Advanced Level"" with a lovely tutor called Katja.  
I achieved certification in many personal development courses which helped with my own lived experience of having both mental and physical health issues. I learnt many coping strategies and techniques and also have lots of courses to put on my CV. Being able to include these on my CV, I believe, has made my CV stronger for applying for volunteering and/or paid work in the community in the future.  
The tutors at the college educated me and had a caring and understanding approach to all students within the Nottingham Recovery College. I personally could relate to other students and I learnt a lot from their input in the classes, which I found helpful.  
I would recommend this valuable educational Nottingham Recovery College to all types of people in the community. Thank you so much Nottingham Recovery College for helping me.","3","Care Opinion","Care Opinion - Q1",21
"cl","Care received","Made A Difference To My Life","I could have written the review by JustAnotherServiceUser myself - I would also use the words 'abrupt', 'patronising' and 'couldn't be bothered' to describe my experience of speaking to Notts Crisis Team. I rang in a very distressed state after an incident at home, feeling worthless, desperate and like I didn't deserve to live.  
It took some courage to ring Crisis Team and the conversation got off to a bad start straight away with the call operator mishearing my name and saying some random words that sounded a bit like my name in a sarcastic tone, as if it was funny. I nearly put the phone down there and then. I can't remember the specifics of the conversation as I was so distressed, but I started feeling worse and worse about myself as it went on, feeling like I was just an irritation to the call operator.  
The situation escalated and I ended up being detained and sectioned by the police. I can't judge whether this was the right course of action or not and I don't resent Crisis Team for calling them, it's just how they spoke to me that stays with me. I am a sensitive person and when in crisis, the way I'm spoken to can make a difference to the outcome. I would expect Crisis Team to understand that; basic compassion was lacking.","-4","Care Opinion","Care Opinion - Q1",22
"cl","Care received","Made A Difference To My Life","I saw Rushcliffe Mental Health Team around 10 weeks ago. I have heard nothing since despite chasing. My GP has asked for updates regularly but again has nothing. He doesn’t know what to do and I feel he has given up on me. I feel abandoned and like I am just a burden on everybody.  
I’ve fought the urge to end it so hard. I tried to take my life recently. I ended up in a and e following an overdose. I called the crisis number before taking the pills. I was told I’d have to call another number. When I did I was promised a call back. I thought this might lead to some action.  
I believe the Rushcliffe team also misled people about my care saying that the Gp is fully aware of my support plan. Following the suicide attempt, I have been left without any medication. Or any support at all. I feel that I have lost hope. I am fighting this but I feel like the help isn’t there even for people who want to help themselves.","-5","Care Opinion","Care Opinion - Q1",23
"cs","Care received","Advice and support","We used our local Sure Start and they helped us with our daughter they helped us at appointments with pediatricians and when our daughter got her diagnosis of Autism. Amazing people couldn't have done it without them. &nbsp;","3","Care Opinion","Care Opinion - Q1",24
"wa","Access","Time spent waiting for first appt/referral/service","After my GP suggested I self refer I had to wait a number of weeks for an initial appointment which was conducted over the phone . After this consultation the therapist informed me they felt I needed a more in depth therapy so they were referring me on. They said there was a wait of 3 months . 3 months came and went . I called to see where on the list I was to be told I had been misinformed and there was a 6 month wait . However shortly afterwards an appointment arrived in the post. This is the first therapy I have experienced , it has taken a number of sessions for me to feel at ease with my therapist . Now I feel I can make progress . I am concerned about how many sessions I will get and about diving headfirst into my issues only for the plug to be pulled.
I do feel it was worth the wait for a highly trained and skilled therapist who is also empathetic .","-2","Care Opinion","Care Opinion - Q1",25
"cs","Care received","Advice and support","Sandra has been extremely helpful in helping me manage my sons behaviour and sleep patterns. She has always turned up on time and presented herself well with her badge in sight. She has recognised exactly where I need help, rather than spending time on the less relevant pats of the programme, she has adapted it to my child's needs. I also think she has gone above and beyond what I expected of her by turning up to meetings at school and also voicing her concerns and mine, where I may have felt embarrassed to pipe about. I honestly wish I could find a criticism about the service I received to try and help it became better, but I cannot find one with Sandra. I would recommend her to any of my family and friends should I feel that they required her services!","4","Care Opinion","Care Opinion - Q1",26
"dp","Dignity","Involvement: Of Service Users/Patients","During my short time volunteering with Sure Start, I was made to feel part of the team, positive and welcoming. Diane and Lisa are lovely people who encouraged me throughout. I really enjoyed my time at Chatter Tots and would like to say thank you for having me. Also thanks to Michelle who is very understanding to my changing circumstances. I hope to work with you again soon.  
I especially enjoyed the ELKLAN course. I thought the teachers were great and I made some new friends from this very informative course.","2","Care Opinion","Care Opinion - Q1",27
"sa","Staff","Attitude Of Staff","We have both really enjoyed our visits from Zoe. She is friendly and talkative which made us feel comfortable.  
I found that our visits have been very useful and i have noticed a big difference/improvement in my son's communication skills.  
I would recommend Home Talk to anyone who is worried as it has made a big difference and gave my son more confidence to get talking.  
Thanks for your time and help, you've been great.","3","Care Opinion","Care Opinion - Q1",28
"wb","Access","Time spent waiting between appointments","My wife was assessed in February. We were told she would be invited back to meet other patients.  
But as of yet we haven't heard anything. As my wife is, she feels neglected","-3","Care Opinion","Care Opinion - Q1",29
"wb","Access","Time spent waiting between appointments","I attended A and E after being taken there by ambulance after calling 111 for support. I had called the crisis team earlier in the day asking for help, just to be told to distract which is what I had been doing all day but I was exhausted.  
Spoke to DPM in A and E who seemed understanding. The plan was to involve the crisis team the next day. Had a good chat to the crisis team the next day but no plan was made and I was passed back to my community mental health team.  
The community mental health team did not call when they were supposed to, and only returned my call a number of hours later after calling them again asking for help.  
I requested a new care coordinator due what I felt were the consistent dismissal of my concerns and problems, and have now been left completely without support.  
I have called the crisis team a number of times over the weekend to be accused of thinking negatively and focusing on the troubles in my life when in fact I have been trying to keep myself busy and safe.  
Feel completely alone and left without any support when I am at my most vulnerable.I continue to feel increasingly more suicidal but with no plan of support and dismissed by the crisis team.  
Phone calls to PALS have also left me very frustrated, being advised to attend A and E, but then no further follow up support offered.","-4","Care Opinion","Care Opinion - Q1",30
"cs","Care received","Advice and support","I've found it useful. My child enjoyed each visit, seeing what was brought each week to play with.  
His Speech has come on an dis putting more words together.  
Home Talk lady was called Zoe","2","Care Opinion","Care Opinion - Q1",31
"ss","Staff","Staff: General","Zoe has been amazing and helped us both with skills to progress my sons speaking and understanding.  
His confidence has come on so much, especially when in front of people wheras before the sessions with Zoe, he wouldn't say anything at all outside of the home.  
He is now able to tell us what he wants and express himself which has made us all happy together and a lot less frustration.","3","Care Opinion","Care Opinion - Q1",32
"cl","Care received","Made A Difference To My Life","Before my son came to Park House, he wouldn't even go near let alone go in the dentist chair. However the staff, especially Monica have been amazing and now he looks forward to coming along and let Monica look into his mouth and show how well his teeth are coming along.  
Due to some problems with his back teeth, he needed some fillings and wouldn't allow this to be done unless he had happy air. However on his last two appointments my son was brave enough and confident enough for any work needed to be done without using/needing any happy air.  
His confidence has increased significantly and I personally would like to thank all the team -especially Monica for giving my son this confidence. You have all been amazing including Joy for arranging the appointments, letting us know of any cancellations and calling the day before to remind you of the appointment date and time. Thank you so much!","3","Care Opinion","Care Opinion - Q1",33
"ce","Care received","Emotional care","Felt very comfortable with my care. I'm normally very nervous at the dentist but I felt at ease and they did a great job fixing my tooth. Thank you.","2","Care Opinion","Care Opinion - Q1",34
"cl","Care received","Made A Difference To My Life","Family Support had improved our lives and shown us help we didint know existed. I would not hesitate to reccomend or return.","3","Care Opinion","Care Opinion - Q1",35
"mi","Communication","Amount/clarity of information","Yes included & named nurse attend. When changes made with myself I'm always given a copy of it. If I don't understand staff will explain it to me.  
Yes I do feel cared for when I'm struggling. Staff very good at identifying triggers early & help me, Involving me in any decision made. If I'm in seclusion they ask if it's OK for them to come in. Very supportive.  
More staff! Sometimes if not enough staff we sometimes don't get to have phone calls & less observations & visits & laundry. But I know it's impossible when short of staff. They try hard.  
We should be able to use day room all the time.  
Day services - don't really go. Never went to as don't like to be round too many people.  
Night staff - Can't read book - can't do xyz - only them.  
Staff told not able to turn lights off, can only sit and watch us. Feel for them sit under bright lights. Staff not praised enough. Being at Rampton is the safest I've ever felt.  
Good quality of staff.","2","Care Opinion","Care Opinion - Q1",36
"dp","Dignity","Involvement: Of Service Users/Patients","1 - Yes, my plan is patient led  
2 - Most of the time, not enough regular staff that hinders this  
3 - Meets my individual needs  
4 - I would like more staff, one to one contact with the RC  
5 - Good too often get cancelled due to lack of staff  
10th Anniversary - I think it went well , I helped with food and setting up","-2","Care Opinion","Care Opinion - Q1",37
"dp","Dignity","Involvement: Of Service Users/Patients","1. My care plan. I sometimes am asked to be involved but a lot of it is signed and done in the office.  
2. I sort of feel cared for, but this is such a busy ward and a lot of staff time is taken up with the patients that are more mentally unwell and the ones that are more well get less time and it's hard to get time with your care team.  
3. I wouldn't say I'm happy with it but it's OK.  
4. More ward activities, more sapphire garden access to do gardening.  
5. The day care services are good but I feel there's not enough offered they only allow us 2 and some of us need more.","-2","Care Opinion","Care Opinion - Q1",38
"dp","Dignity","Involvement: Of Service Users/Patients","1) Yes, we have 1:1 and we go through it + we get to say if we agree, + we come up with the goals together.  
2) Most of them, some of them have favourite + don't bother with other people. A couple of new ones + you can tell it's just a job + they aren't there to care.  
3) I am happy because I can see myself moving forward + progressing.  
4) Need more staff, there's never enough, when we have 7 they take them off us. There's never enough.  
5) Think there is plenty to do, they help you out + you learn things.  
10th Birthday - I did really like it, I did have to leave because there were too many people but overall I like it. do it every year.","-1","Care Opinion","Care Opinion - Q1",39
"ss","Staff","Staff: General","I think that most of the staff are good. Just one or two but you always get one or two not so good. But as a rule they are good. I have had a good time here at wathwood. You are listened to and things get done.  
On a couple of occasions I feel I have been verbally mistreated but I told staff and it was corrected.  
I get good very and we receive good attention and the staff are always ask us if we are alright. More activities are needed cos things are limited but what there is is quite good.","-1","Care Opinion","Care Opinion - Q1",40
"cr","Care received","Rules/approach to care","I have attended a Parents' Forum, it was a very good meeting: welcome atmosphere, perfect organisation, efficient agenda. I like these meetings delivered by Kelly and Marina, because the ideas generated during the meetings actually come in reality! One more good thing is that my son was looked after by two lovely ladies at the crèche: Claire and Abby. My son was very happy, and so was I. thanks and best regards","2","Care Opinion","Care Opinion - Q1",41
"cs","Care received","Advice and support","I am absolutely disgusted with the care team at Millbrook hospital. My husband had been referred to the by his doctor because he is desperately in need to some in depth mental health care. He has been extremely suicidal for the past six months and the doctors have tried to treat him for over a decade without success. He needs specialist treatment but the doctors at Millbrook hospital are refusing to even see him as apparently he is not ill enough.  
It feels like we have to wait for my husband to actually take his own life before they will look at anything. Never mind that he is in the age group where men are most likely to commit suicide. I hope someone at this hospital will be able to explain to my two children why their father wasn’t considered important enough for treatment if the worse happens. I think that if they had lived with this illness for as long as we have then I’m pretty certain they would be falling over themselves to treat him. I think the lack of treatment is absolutely shameful.","-5","Care Opinion","Care Opinion - Q1",42
"cc","Care received","Care received","I would like to thank all the staff and people involved with caring for the patients and in particular for my 81 year old husband, on Castle Ward of Lings Bar Hospital, Gamston, Nottingham. I have nothing but praise for their proficiency, help, kindness and consideration. They made an exhausting and difficult time bearable for my husband, myself and our family  
My husband was admitted to Lings Bar Hospital from the Queens Medical Centre on in September and discharged recently. He had fractured his right wrist in a fall at home which, combined with his Alzheimer’s disease, vascular dementia and frequently interrupted nights, made caring for him at home exhausting and extremely difficult.  
The staff were exemplary. They listened to our concerns and took our view seriously. I saw them treat sometimes difficult patients well with patience and kindness. The food was good, well cooked, varied and nutritious: the resulting empty plates and accepted second helpings proof of the pudding and the clean, safe, airy wards created a pleasant atmosphere.  
Understandably when a person with a fractured limb/s is in hospital long term, sometimes for several months they can become unappreciative and resentful; even a five star hotel would not suit. But in my opinion, as a frequent visitor, I would say Lings Bar Hospital is one of the best places to be if that is what is needed.  
With grateful thanks","5","Care Opinion","Care Opinion - Q1",43
"sp","Staff","Professionalism/Competence Of Staff","My story is about the support I received on the neonatal unit and the continuing support at a group (attended with my prem baby) The group is called Little Senses that runs at Beeston and I would like to mention the lovely lady who gave me so much support when I had my baby who was premature. Tracey helped me bond with my baby I was so tearful and frightened and Tracey helped me so much, she didn't judge and was there for me emotionally, she was caring and without her I don't know how I would have been. She then signposted me to the Little Senses group that she runs in Beeston and that is an amazing group where Tracey gives advice and support on early intervention and development she really does go the extra mile and has been such a tremendous support,.  
Thank you for the neonatal for having Tracey doing this most needed job.","4","Care Opinion","Care Opinion - Q1",44
"sp","Staff","Professionalism/Competence Of Staff","I feel so lucky to have such caring nurses looking after me.","2","Care Opinion","Care Opinion - Q1",45
"cc","Care received","Care received","Lesley, thank you so much for all the care and support you gave my husband. &nbsp; I can't thank you enough.","3","Care Opinion","Care Opinion - Q1",46
"cc","Care received","Care received","I am really happy with the service I have received from my Diabetes Specialist Nurse and Self-Care Advisor.","2","Care Opinion","Care Opinion - Q1",47
"cc","Care received","Care received","I was at a real low point and in an extreme state with my mental health when I visited my GP at Park house medical centre. Dr Daly was fantastic and went out of her way (she had been with me some time so no doubt she was behind with her other appointments) to contact the crisis team and took the time to make sure I was seen that day. I was referred to Highbury hospital.  
From the moment I met Zoe the psychologist she was so lovely, made me feel at ease and able to talk to her about my feelings & worries. For the first time that day I felt like I would get the help I needed. Zoe deserves so much credit for what she does and how she makes people like me feel.  
Zoe & the Doctor advised I stay at Haven house. This place is amazing! The staff have so much empathy and are so supportive. There is always someone to talk to or help you through difficult times of the day. They have all kinds of activities going on if you wanted to join in. I stayed for 7 days and in that time I still had visits from Zoe & some of the other members of the crisis team who are equally great at what they do. Zoe makes a plan and continues to look at ways to help me, whether it be through other organisations or self help.  
Even after returning home the support continues with visits & phonecalls to make sure I had everything I needed and some support with any worries I may have. Through this bad time in my life I have so much admiration and am so thankful to the whole team for what they have done for me. Each and every person I saw had nothing but care and support to offer.","4","Care Opinion","Care Opinion - Q1",48
"ca","Care received","Activities","We feel the children enjoyed Stay, Sing and Sign, they quickly became familiar with the routine which was a story followed by the craft activity followed by singing.  
They sat really well and engaged in all the activities.  
The staff learnt some new signs for the nursery rhymes and liked the idea of 'whats in the tin' and different objects to represent the songs.  
It was lovely that the children could take home their own dinosaur and feedback from parents was positive.  
The only thing we would say to improve on is the songs could be sung slightly slower, as we felt they where rushed at times. Also the children looked forward to a shiny sticker which unfortunately where forgotten.  
Thank you and we look forward to seeing you again soon.","2","Care Opinion","Care Opinion - Q1",49
"ct","Care received","Therapies","Wasn't sure of home talk at first but agreed to try. Felt silly having to repeat myself and strip words into pieces for easy pronouncing but after trying out and seeing the difference, it came natural after a couple weeks and works a treat. &nbsp;","2","Care Opinion","Care Opinion - Q1",50
