Date,Code1,Code2,Criticality,Please can you tell us why you gave this answer.
2020-08-26,CC,NA,2,All ok for my length of stay
2020-08-05,CC,NA,2,"All ok,"
2020-08-03,SS,NA,4,All staff are amazing
2020-08-13,SS,NA,3,All staff are Excellant and caring
2020-06-01,SS,NA,3,All staff are lovely from when you arrive to when you leave
2020-08-07,SS,CE,3,All staff are very helpful and caring. Despite the circumstances it has been a pleasure being on the ward
2020-06-18,SS,NA,3,"All Staff are very polite, friendly and helpful and really help to relax as best they can."
2020-08-18,SA,EC,2,All staff caring and empathetic. Made to feel cared for.
2020-05-19,SS,NA,4,All staff fantastic
2020-07-29,SA,NA,3,All staff from doctors to cleaners very friendly and kind
2020-06-12,SS,CE,3,"All staff go above and beyond in there care for patients, put me at ease and also remembered me from last week. I don’t dread coming in next week. Thank you sooooo much"
2020-07-29,SS,NA,3,All staff good I came in a lot always very helpful
2020-08-12,SS,NA,3,All staff great
2020-08-14,SS,NA,3,All staff great
2020-07-31,SS,NA,4,"All staff have been amazing, friendly and caring"
2020-06-22,SS,NA,3,All staff have been polite and nothing has been too much for them.
2020-06-17,SS,NA,3,All staff jolly and friendly
2020-07-31,SS,NA,3,All staff members were very friendly and made us very comfortable.
2020-07-13,SS,NA,3,All staff most helpful.
2020-07-10,SS,NA,3,All staff so hopeful
2020-07-03,SS,NA,3,All staff very attentive at all times with loads of patients for all guests.
2020-07-24,SS,NA,3,All staff very caring
2020-07-24,SS,NA,3,All staff very caring
2020-06-17,SS,NA,3,All staff very friendly and attentive
2020-07-09,SS,NA,3,All staff very friendly and professional and made to feel at ease about every thing
2020-06-22,SS,NA,3,All staff very helpful
2020-08-03,SS,NA,3,All staff very helpful
2020-07-10,SS,NA,3,All staff very helpful.
2020-08-06,SS,NA,4,All staff very helpful.sorry I cannot name them but there were too many for me to remember.dr * was especially helpful.nothing was too much trouble for anyone.
2020-08-03,SS,CC,3,All staff very nice and thoughtful. All my needs was met.
2020-06-12,SS,MI,3,All staff very pleasant curious. Couldn't do enough for me explained everything
2020-08-14,SS,NA,3,All staff was loveLy.
2020-05-14,SS,NA,2,All staff was very good    👍🏼
2020-06-11,SS,CR,3,all staff welcoming and great service
2020-08-05,SS,NA,2,All staff were helpful and caring
2020-05-11,SA,CC,3,"All staff were helpful and considerate whenever you required anything, they were polite and always had a smile on their faces in demanding circumstances"
2020-05-14,SA,NA,2,"All staff were kind, caring and responsive. Made my stay in hospital the best it could be!"
2020-08-21,SA,CE,2,All staff were lovely and made me feel welcome
2020-05-27,DA,SA,3,"All staff were nice to me, knowledgable and reassuring. Treated like a person."
2020-07-29,SA,SP,3,All staff were pleasant at all times during my stay. I felt I could ask them for help when needed even when they were very busy. Nothing was too much trouble.
2020-06-15,SA,NA,2,"All staff were pleasant, caring and helpful"
2020-07-27,SP,SA,2,All staff were professional and friendly
2020-07-31,SA,CC,3,"All staff were very attentive, friendly and professional. Being in hospital made much easier because of this. Thank you one and all."
2020-08-12,SP,SA,2,All staff were very professional helpful and caring on the ward
2020-07-08,SA,NA,2,All staff were wonderful
2020-07-16,SA,NA,2,All staff were wonderful
2020-07-13,SA,NA,2,All teams doctors nurses breakfast lady and cleaning team and all staff was all very nice and caring and helped me with a quick recovery.
2020-08-18,SA,NA,2,All the nurses and support staff are lovely.
2020-08-17,SA,CC,2,All the nurses are fantastic. I felt very well cared for.
2020-08-17,SS,EF,3,"All the nurses are very caring and helpful ,I could name some of them but not all .* ,*, * to name just a few .Food  what bit I ate was good and the cleaning lady was thorough"
2020-07-13,SA,CE,2,All the nurses looked after me very well because I felt very nervous this morning and they made sure I was okay and made me feel better
2020-06-10,SA,CO,2,All the nurses where fantastic looked me well always time for a chat and always a smile nothing was to trouble for them five star treatment
2020-07-15,SA,MI,2,All the nurses where very friendly and answered all my questions.
2020-07-29,SA,CR,2,All the staff  are really friendly .They looked after my son really well.
2020-08-17,SS,CC,3,"All the staff (medical, food serving & cleaning) were excellent. They were hospitable and professional. Nothing was too much trouble. They made my stay very pleasant."
2020-07-24,SA,CC,3,"All the staff a have been absolutely lovely, caring and efficient. Thank you for the excellent care that I have received."
2020-04-29,SP,CL,4,All the staff are excellent and kept me alive
2020-04-27,SS,CC,4,"All the staff are fantastic, we could not ask for better care."
2020-08-14,SP,NA,3,All the staff are really hard working polite and caring
2020-08-11,SS,CC,3,"All the staff are so amazing, I am very happy with the care I received."
2020-04-02,SA,SP,3,"All the staff are very caring, given the circumstances they do a fantastic job."
2020-07-14,SA,NA,2,All the staff are very helpful
2020-07-22,SP,SA,3,ALL the staff did their jobs very well and with a smile on their faces
2020-06-08,SS,NA,3,All the staff have been brilliant
2020-06-22,SS,NA,3,All the staff have been brilliant and so very caring
2020-08-17,SA,CS,3,"All the staff have been extremely friendly, helpful and supportive through my time on the teenage unit"
2020-06-11,SS,CC,4,All the staff have been incredible - from the A&E department to the ward staff. We’ve been so well looked after and the level of care my son has received is second to none!
2020-07-16,SS,CC,4,"All the staff have been wonderful, kind.  I feel like I have been pampered.  I felt comfortable and looked after during my stay.  The consultant explained the procedure to me thoroughly.  All the staff made me feel at ease and chatted to me which was nice. Thank you very much for looking after me.  You all do wonderfully.  Take care and stay safe. x"
2020-07-24,SA,NA,2,All the staff have been wonderfull and helpfull
2020-05-26,SA,NA,2,All the staff on the Ward are friendly and helpful
2020-07-13,SP,MI,3,All the staff shows me nothing but kindness patience excellent professional care. Nothing was too much trouble and any questions I had were answered and explained fully. I felt completely looked after and confident in all their care.  Thank you to one and all I don’t know how they do it
2020-07-22,SS,NA,4,All the staff was amazing went above and beyond to help
2020-07-16,SS,NA,3,All the staff was excellent.
2020-07-08,SA,NA,2,All the staff was helpful and lovely.
2020-07-14,SA,NA,2,All the staff was lovely.
2020-06-15,SS,NA,4,All the staff were Fantastic thank you for making my short stay so pleasant. You deserve the highest accolade this country can give.
2020-06-11,SA,SP,2,All the staff were friendly and efficient
2020-07-27,SA,CE,3,"All the staff were great,kept my grandsons confidence up, which made it all so simple.overall brilliant."
2020-06-30,SA,NA,2,All the staff were lovely
2020-08-03,SA,NA,2,All the staff were so friendly and very helpful
2020-07-08,CO,MI,4,All the staff were very attentive and friendly all questions were answered with as much knowledge as they had fantastic ward
2020-05-12,SA,EC,3,All the staff were very helpful.the ward was very clean
2020-07-09,SA,CO,3,All the staff were very lovely and Helpful nothing was to much trouble thank you so much
2020-07-31,SA,CP,3,All the staff were very nice and got me out of pain❤️❤️love them for that
2020-08-07,SA,NA,2,All the staff were wonderful very caring and most helpful
2020-06-25,SA,NA,2,All the teamwork with staff wee brilliant
2020-07-15,SA,NA,2,All very approachable especially during COVID
2020-05-29,SA,NA,2,All very good staff
2020-04-06,SA,NA,2,All very kind and helpful
2020-06-01,SA,NA,2,All very kind and helpful
2020-07-14,SA,SP,2,"All very smooth and friendly,organised and pleasant"
2020-08-26,XE,NA,3,All was good
2020-08-12,XE,NA,3,All was good no complaints
2020-08-07,SS,NA,2,All was very good to me
2020-05-06,SS,CR,3,"All who worked on the ward,polite,respectful,careing and conscientious towards all in their duty of care."
2020-06-08,CR,NA,3,Always 1st class service from the Ward
2020-06-01,CE,NA,2,Always a nice experience
2020-05-27,SP,NA,2,Always efficient
2020-07-09,DS,CC,4,Always felt safe and secure and treatment was exceptional.
2020-07-10,MI,CO,2,Always felt there was someone in reach I could talk to
2020-06-29,CO,CR,3,Always felt very safe even when dozing a nurse was always at my side. If I wasn’t sick I’d be glad to be here
2020-05-29,SA,NA,2,Always friendly and welcoming staff.
2020-08-10,CC,NA,2,Always good
2020-08-10,CC,NA,2,Always had good service here
2020-06-19,CE,NA,2,Always have a good experience
2020-05-19,MI,SS,4,"Always informed of my treatment, nurses excellent"
2020-06-19,CC,NA,2,Always receive excellent care
2020-06-04,DS,NA,2,Always safe
2020-07-22,CO,EF,2,Always someone calling round to make sure your comfortable. All staff polite & helpful. Food was good.
2020-05-06,CO,NA,3,Always spend time with me when they are busy this is special
2020-07-01,SS,NA,3,Am really happy with the care * has received during her stay at hospital and I wish to say a big thank you to all the nurses and doctors.
2020-05-29,SS,NA,2,Amaeras all the staff and the jobs they do
2020-08-17,SS,CR,3,"Amazing friendly, welcoming staff. Lovely atmosphere within the ward. The wonderful ladies with me on the ward also helped with the enjoyable stay."
2020-04-08,SS,NA,3,"Amazing nurses, Drs, HCAs, cleaners and chefs. Everyone does their best to make the stay as good as poss."
2020-08-03,CC,SS,3,"Amazing services care has been provided by *, * and *"
2020-06-11,SS,NA,3,Amazing staff
2020-06-19,SS,NA,3,Amazing staff
2020-06-15,SS,CE,4,Amazing with me and my daughter. Caring compassionate and reassuring even with what is happ they still have smiles on their faces so from me and lucy a massive Thankyou band continue your hard work truly superheros xx
2020-05-27,SS,NA,3,Angels on this ward
2020-08-18,EP,NA,1,Arranged transport
2020-08-10,CR,MI,2,As always been well looked after and informed
2020-05-28,DL,NA,4,As patient left ward with ambulance crew He wanted to “thank all staff for saving his life”
2020-08-10,SA,NA,2,At first I was apprehensive of coming into hospital. As I’ve never been on this ward before. But when I’ve been here’s. it was very good. The service and the comfy of the staff and what they did for me
2020-07-14,SP,SA,3,Atmosphere professionalism. Kindness and approach to kids.all together  Great job
2020-06-19,SA,WB,2,Attentive and no waiting
2020-08-05,SA,CC,3,Attentive and supportive staff throughout all services. Felt extremely well cared for and communicated with throughout. Thank you to all involved.
2020-07-10,SA,SP,2,Attentive knowledgeable staff.
2020-07-27,SA,SP,2,"Attentive, kind caring and professional"
2020-08-03,SA,SP,2,"Attentive, professional and friendly staff, I felt in safe hands throughout."
2020-07-02,SS,NA,3,Aww the staff are so good
2020-07-15,SA,NA,2,Because * looked after me very well and helped me a lot and the other staff were kind and helping too
2020-06-25,SA,NA,2,Because all members off staff have been very helpful
2020-07-08,SA,CP,2,Because all of the doctors and nurses were very helpful and friendly. They made sure that I was comfortable.
2020-07-21,SA,NA,2,Because all of the staff are lovely
2020-07-31,SA,NA,2,Because all the staff are great
2020-06-03,SA,NA,2,"Because every single nurse was extremely polite , kind and very helpful can’t fault anything"
2020-08-07,SA,NA,2,Because every time it was needed the nurses and the rest of the team was there and tended to my needs.
2020-06-19,SA,NA,2,Because everyone has been kind and helpful from day1
2020-08-06,SA,NA,2,Because everyone is wonderful and all deserve a pay rise
2020-07-20,SA,CM,2,Because everyone paid attention to me and provided pain relief in a timely manner
2020-05-29,CC,NA,2,Because everything is good - good service
2020-07-28,CC,NA,2,Because everything was good
2020-07-23,CC,NA,2,Because everything was great
2020-04-22,SA,CE,1,The reason for me saying this is I don’t like hospitals but I can’t explain how much I love it on the ward staff were lovely very helpful
2020-05-11,CC,CE,4,"Because I feel like I was treated amazingly, and I felt welcomed. I am so thankful for what they have done for me and my child."
2020-07-14,SS,NA,3,Because I felt very vulnerable and the staff were brilliant
2020-07-13,CC,SS,2,Because I have had a pleasant stay with really good staff
2020-07-21,CC,NA,1,Because I have no complaints
2020-06-03,CC,NA,1,Because I was happy with what had been done.
2020-06-18,CC,NA,1,Because I was looked after very well
2020-06-15,CC,NA,2,Because I was very well look after
2020-04-06,CC,NA,2,Because I was well looked after
2020-06-08,CC,CP,2,"Because I was well looked after, and made pain free"
2020-06-22,CC,NA,2,Because I’m really pleased with the service I’ve had
2020-06-19,CC,SP,3,Because I’ve had care and attention and really been looked after
2020-07-10,CO,NA,2,Because if I needed help someone is always here to help
2020-08-10,CC,NA,2,Because is  good service and helpful with my daughter is here
2020-08-27,CC,TC,3,Because it is not the 1st time I’ve been on here. Every time the care and service is excellent. Would not want to go any where else
2020-06-08,CC,NA,1,Because it is true
2020-08-03,SA,NA,1,Because it was enjoyable stay. Staff were very kind friendly and caring. And so were the other patient in my bay
2020-07-06,CC,NA,1,Because it was very good
2020-07-27,CC,NA,1,Because it was very good
2020-06-15,SA,NA,1,Because it was very good on the ward & everyone treated me nice
2020-05-13,SS,NA,3,Because it’s a wonderful staff
2020-06-03,CC,NA,2,Because it’s like a family and it’s a personal service
2020-06-26,CC,NA,1,Because it’s true
2020-07-09,CC,NA,1,Because it’s true
2020-07-22,SA,NA,2,Because of cheerful and attentive attention by all
2020-08-17,SA,NA,2,"Because of the helpful, kind caring staff"
2020-07-20,SA,NA,2,Because of the staff and service.
2020-07-17,SP,CE,3,Because of what is happening at the minute still happy and doing there job and making patients happy
2020-07-02,SA,NA,1,Because staff are very kind
2020-07-22,SP,NA,3,Because staff know what they are doing and are very organised
2020-04-22,SA,NA,2,Because staff were very caring
2020-07-03,SP,NA,2,"Because that’s my personal experience, teams were efficient"
2020-07-15,SA,NA,4,Because the care and attention given by all staff has been exceptional.
2020-07-23,SA,NA,2,Because the nursing staff was friendly helpful and caring
2020-06-29,SA,NA,2,Because the service was very friendly and helpful
2020-06-22,CC,SA,4,Because the service was wonderful. The staff are very friendly and polite all the time This is my 4th time at hospital and the service was perfect every time
2020-06-15,SS,CC,3,Because the staff and the care received was second to none
2020-08-05,SS,NA,3,Because the staff are fantastic
2020-07-03,SS,NA,3,Because the staff took good care of me and were very nice to me and when my grandad asked for more food you sed yes and it made him very happy and I loved the ham sandwiches. The staff were extremely friendly and gave me amazing activities to do and I was bored  ( I give them 5 stars )
2020-07-20,SS,NA,3,Because the staff was brilliant at all times nothing was too much trouble at all times
2020-05-27,DA,SS,4,Because there is nothing to improve..All the nurses went beyond to make us feel very welcome and treated us with most respect..❤️❤️ thank you so much for everything 😍😍
2020-07-27,CO,SP,2,Because There was always someone around when I needed them an I like to say thank u kindly to everyone for the help
2020-07-23,SA,NA,2,Because they treat me very well 😊.
2020-08-14,SA,NA,3,Because they was very very helpful and if staff are as good to me as everyone else there should be no bad feed back I would like to thank everyone deal with my  case a very big thanks 👍🏻
2020-07-13,XX,NA,0,Because you asked on the question to pick one.
2020-08-06,SS,NA,3,Because you guys are awesome 😊
2020-06-10,CP,SP,3,Because you have all got me better and I want to thank you all for doing amazing job looking after me
2020-08-11,SP,NA,3,Because you looked after and for my mother so well.
2020-06-01,CR,NA,1,Because you was able to get the rest that you wanted
2020-05-21,AP,NA,1,Been a patient  Here for donkeys years
2020-08-19,XE,NA,3,Been happy with everything
2020-07-02,XX,NA,0,"Been in hospital for such a long time now, I miss home nothing to do with staff just frustrated"
2020-07-23,MI,NA,3,Been kept informed all stages of treatment
2020-07-22,CC,MI,2,Been looked after really good kept informed etc
2020-06-22,CC,TC,2,Been on before good ward
2020-05-14,CC,NA,4,Been on the ward for a week now and my care as been excellent
2020-07-01,SA,TC,1,Been on ward a lot lately- already nice staff
2020-08-13,SS,NA,2,Been treated well
2020-07-28,SS,NA,2,Been well looked after
2020-07-07,CC,NA,1,Being good all
2020-05-28,SS,NA,3,Being ill perhaps makes me grumpy Doctors and nursing staff are excellent
2020-07-23,CC,NA,1,Being looked after
2020-06-11,CC,NA,1,Very good
2020-07-17,SS,NA,3,Best team of nurses
2020-05-22,CF,NA,-1,Better food
2020-08-26,CE,NA,3,Better mental health support
2020-06-25,CC,NA,1,Better now I’m here
2020-08-05,SA,CO,2,"Better than any other ward I’ve been on, staff have been lovely I’ve had no problems with the staff. Liked how the staff took time out to talk to me."
2020-06-11,SS,NA,3,Brill team
2020-07-03,CC,TC,4,Brilliant as per usual
2020-06-22,SS,CO,4,Brilliant nursing kindly treatment doctors more than willing to spend time explaining any questions that you have fabulous nhs.
2020-06-04,SS,NA,3,Brilliant staff
2020-07-22,SS,NA,3,Brilliant staff
2020-07-24,SS,NA,3,Brilliant staff
2020-07-31,SS,NA,3,Brilliant staff
2020-07-02,SS,NA,3,"Brilliant staff, deserves very large pay rise"
2020-06-04,SS,CE,3,"Brilliant Surgeons ,amazing ward staff. Very nervous when I came in but the professionalism of everybody concerned made it very easy for me"
2020-06-11,SS,NA,3,Brilliant team
2020-05-18,CC,NA,4,"Brilliant..well looked after, excellent care and treatment"
2020-06-25,CC,SS,4,Brought in nighttime care and all staff excellent
2020-05-29,XE,NA,4,Cannot fault the care being given to our mum at this sad time
2020-08-03,CO,NA,3,Can sit and talk to the staff
2020-06-01,XE,NA,2,Can’t complain
2020-08-27,XE,NA,3,Can’t fault
2020-08-12,CC,NA,3,Can’t fault any of the NHS service done and excellent job through this unprecedented time nothing to complain about
2020-07-16,XE,NA,3,Can’t fault anything
2020-06-04,XE,NA,4,Can’t thank you enough
2020-08-18,XE,NA,3,Can’t think of anything
2020-08-19,XE,NA,3,Can’t think of anything
2020-07-30,XE,NA,3,Can’t think of anything I got all the care and support I needed
2020-08-20,XE,NA,4,Cannot think how you could do any better
2020-06-22,CC,NA,2,Care
2020-05-18,SA,NA,2,Care and attentiveness of staff
2020-08-28,CC,DA,3,Care and compassion excellent!
2020-06-12,CC,NA,3,Care fantastic
2020-06-04,CC,NA,3,Care givers was excellent
2020-07-13,CC,NA,2,Care good
2020-05-06,EQ,NA,-1,Care has been good. ****** not that comfortable in a chair. Bed would have been better.
2020-05-29,CC,NA,3,Care I received was fantastic
2020-06-05,CC,NA,2,Care was calm and concise
2020-07-27,CC,SP,4,"Care was excellent, professionally provided, with love and with care."
2020-07-13,CC,SP,4,Care was fantastic from all health professionals
2020-07-27,CC,NA,4,Care was fantastic!
2020-08-17,SP,SA,3,Care was fast and very caring nurses
2020-07-16,CC,NA,4,Care was out standing
2020-06-19,CC,NA,3,Care was very good
2020-05-29,CC,NA,3,Caring and concerned
2020-07-15,CC,SA,3,Caring and kind professional   ? ??. I
2020-06-26,CC,SA,3,"Caring and kind, looked out for me the whole time and very friendly"
2020-05-29,CC,SP,3,Caring professional friendly staff Nothing too much trouble Excellent care
2020-07-30,CC,SA,3,"Caring, thoughtful staff"
2020-05-18,SS,NA,3,Cause all the staff are amazing
2020-06-29,SS,DS,3,"Cause all the staff are very nice and helpful All staff (including housekeeping staff and kitchen assistants) are very caring and knowledgable. Don’t do half measures, very precised with treatment. Safe environment and very clean."
2020-05-21,EC,EF,2,Clean and good food staff area friendly helpful
2020-07-17,EC,SA,2,Clean wards friendly staff
2020-08-05,CP,SP,4,Clinical care excellent  Efficiently managed ward
2020-08-26,EQ,CC,2,Comfortable stay in side room nursing team and care was very good
2020-07-09,SA,NA,1,Comfortable stay staff friendly and helpful
2020-07-13,SA,NA,1,Comfortable stay.
2020-07-30,XX,NA,0,Comfortable waiting room.
2020-08-26,MM,NA,2,Communication
2020-07-16,MM,NA,2,Communication was good
2020-07-16,MM,NA,2,Communication was great on the assessment unit and they were so friendly  The only thing that was noted was the difference of staff on the day/night shift The night shift  on the ward no one introduced themselves or showed me round where as the day staff they all introduced themselves and made me feel comfortable.
2020-08-27,TC,DC,3,Consistency with * care and also checking that everyone on the team were aware of * plans for future care. Also to involve parents all the time of any changes. Check drugs and doses before administering all times. Also to check ears under the CPAP with every cares to avoid injury.
2020-06-12,XE,NA,3,Could not fault anything
2020-08-27,XE,NA,3,Could not have been better
2020-08-27,XE,NA,3,Could not have done anything better
2020-06-01,XE,NA,3,Couldn’t ask for better
2020-06-29,XE,CL,4,Couldn’t ask to be cared for by better staff. The last 6 months have been made bearable by their care
2020-06-25,XE,NA,3,Couldn’t be better
2020-07-30,XE,NA,3,Couldn’t be better
2020-06-12,XE,SS,3,"Couldn’t do nothing better, what a fine group of people."
2020-08-06,XE,NA,3,Couldn’t have been better
2020-08-27,XE,NA,3,Couldn’t have done anymore for me
2020-07-08,SS,DC,4,"Couldn’t have wished for a better team to take care of my little boy from start to finish, they all kept me informed of everything that happened which put my mind at ease."
2020-07-21,XE,NA,3,Couldn’t wish for better care
2020-04-20,SS,NA,4,Demenure and friendliness of nurses and care staff was outstanding
2020-05-14,SA,NA,3,Despite the worry the staff had they were always positive and made me feel very safe. They were all wonderful
2020-05-29,CO,SA,3,"Did everything I need, all lovely and friendly"
2020-07-13,XX,NA,0,Difficult time because of corona virus
2020-08-20,TX,EQ,1,Discharge as always.  Tv/ lounge  Staff facilities area phone mobile.
2020-07-22,XX,NA,0,Do we know the reason for the blockage.
2020-06-25,CO,DA,3,"Doctor, nurses, consultants and all staff delivering excellent care.I always found someone to talk about my worries, staff gave me reassurance when I needed. They treated every patient with privacy and dignity. I always felt safe during my stay."
2020-06-15,SP,EC,3,Doctors and nurses always very professional and friendly too. Never felt nervous even with the current situation with the virus.
2020-07-13,XX,NA,0,Don’t know
2020-08-26,XE,NA,3,Don’t think it could be improved upon. Second to none.
2020-08-26,XE,NA,1,Don’t think so
2020-08-05,MI,SA,2,"During my daughters stay on Ward, we were kept up to date and informed on her condition and progress. All the doctors and nurses were very friendly and accommodating."
2020-08-28,EQ,NA,-1,Earplugs
2020-06-12,XX,NA,0,Easy watching
2020-06-29,CR,NA,2,Efficient
2020-05-29,CR,NA,3,Efficient & effective
2020-06-29,CR,CO,3,Efficient and very attentive
2020-06-08,CR,NA,2,Efficient service
2020-08-26,EF,NA,1,Egg and bacon for breakfast lol
2020-08-12,CA,EF,2,Enjoyable stay activities and good food
2020-05-29,SA,SP,3,Even through a pandemic staff are upbeat very hard working
2020-07-30,SA,MI,2,"Every member of staff I dealt with was polite , kind and very informative:"
2020-06-05,SA,CC,3,Every member of staff were very kind caring helpful made feel at ease n comfortable from the night staff to the day staff excellent service felt like being 5star hotel
2020-07-24,SP,CO,2,Every need was attended to as well as extra checks
2020-04-16,SS,CR,4,"Every nurse, doctor and staff are all angels. Doing fantastic job. Wouldn’t get better treatement anywhere else. Thank you"
2020-08-07,SA,NA,1,Every one was soooo nice thank you 🙏❤️
2020-07-16,SA,CC,4,Every single member of staff was outstanding. The care was exceptional. Thank you all.
2020-06-12,SS,DA,3,"Every team member l have seen so far has been unfailingly kind and compassionate, as well as effective.  I could not ask for better care."
2020-07-29,SS,NA,3,Every the staff are marvellous. They are over worked and underpaid.
2020-05-28,CC,TC,3,Every time I come to unit it is excellent
2020-05-18,SA,NA,2,Everybody
2020-06-26,SA,NA,3,Everybody has been very nice and helpful.
2020-08-03,SA,NA,3,Everybody has been wonderful
2020-06-25,SA,NA,2,Everybody helpful
2020-06-02,SA,NA,2,"Everybody is caring, I’m well looked after and friendly."
2020-07-03,SA,NA,3,Everybody is cheerful and fantastic
2020-06-02,SA,CE,3,Everybody is looking after me and it makes me feel comfortable.
2020-06-01,SA,NA,3,Everybody is really kind and staff get on with the job in hand. Everyone makes you feel welcome.
2020-05-18,SA,EC,3,Everybody is very friendly always asking me if I needed anything.
2020-05-28,SA,NA,3,Everybody really helpful and it is my favourite hospital
2020-07-20,SA,SP,3,Everybody very kind sympathetic and efficient
2020-08-17,SP,NA,3,"Everyone all professional, and work together, know what they are doing and see you right"
2020-08-03,SA,CC,4,Everyone and everything was spot on
2020-07-07,SP,NA,4,Everyone couldn’t do enough for me
2020-05-13,SS,NA,3,Everyone did their best with great care
2020-06-11,SS,NA,4,Everyone excellent
2020-08-12,SS,NA,3,Everyone great
2020-08-03,SA,NA,2,Everyone has a kind and careing attitude .
2020-08-14,SS,NA,3,Everyone has beeen brilliant. Could not ask for better staff
2020-06-18,SS,NA,3,Everyone has been amazing
2020-07-13,SS,NA,3,Everyone has been amazing to me
2020-06-30,SS,NA,3,Everyone has been excellent
2020-05-27,SS,NA,4,Everyone has been fantastic couldn’t have been better. I’m very grateful to the ward staff
2020-06-29,SA,NA,2,Everyone has been friendly and helpful
2020-08-12,SS,NA,2,Everyone has been great
2020-05-28,SS,NA,2,Everyone has been great.
2020-07-28,SA,MI,2,Everyone has been lovely and accommodating and explained everything
2020-06-01,SA,SP,3,"Everyone has been lovely, the staff work so hard."
